episode,return,ttm,total_steps,final_mastery,cumulative_reward,question_accuracy,content_rate,blueprint_adherence,post_content_gain,post_content_gain_video,post_content_gain_PPT,post_content_gain_text,post_content_gain_blog,post_content_gain_article,post_content_gain_handout,mean_frustration
1,10.213354556945344,140,74,0.3902237201930044,10.213354556945344,0.3333333333333333,0.6756756756756757,98.88888793066144,0.04360338325544002,0.07570249221211618,0.04990368290885027,0.03882083595203511,0.023280617286857187,0.03947812585953173,0.03522868393739281,0.21486486486486486
2,32.4782752117885,140,131,0.4614368155693199,32.4782752117885,0.5769230769230769,0.6030534351145038,99.23076876439154,0.041558774737387776,0.06346245462119632,0.04993726670921162,0.02544717201250611,0.03951513275719699,0.040214432307518,0.03582302328813904,0.30557251908396943
3,52.897754802172535,140,129,0.4709001588664642,52.897754802172535,0.9767441860465116,0.6666666666666666,98.7596889026463,0.05569552209037652,0.08457783769919373,0.05930474949150648,0.0359792681781856,0.046278877872029764,0.05007168490205862,0.042015891545962004,0.027054263565891475
4,23.74785399846521,140,124,0.4398799098890177,23.74785399846521,0.47368421052631576,0.6935483870967742,98.59649045392871,0.0470616628448916,0.06794606102902705,0.06321036591065304,0.02930619082311174,0.0441581427215299,0.03034973955899239,0.03825658504654971,0.24467741935483875
5,34.16223838294799,140,120,0.46875661132664354,34.16223838294799,0.6410256410256411,0.675,99.31623935699463,0.057761294334650465,0.07730042122640633,0.06471476417769852,0.045170835648141776,0.05538510851874551,0.049705608076150244,0.05273670952232922,0.08808333333333336
6,18.155311842643673,140,107,0.4180702244335983,18.155311842643673,0.34285714285714286,0.6728971962616822,100.0,0.05219556826146826,0.07995033589245956,0.0627884835385676,0.026025482736267796,0.048544821108293584,0.04866337899297099,0.023036307131317626,0.20401869158878505
7,25.464174011268955,140,137,0.438421779227581,25.464174011268955,0.46153846153846156,0.7153284671532847,99.31623935699463,0.04747235488448267,0.06816328271083681,0.04471561544963402,0.03679300308728708,0.053142888544741154,0.0420307712773853,0.03767158242733949,0.21708029197080295
8,42.812667719631975,140,123,0.48944490024122905,42.812667719631975,0.8095238095238095,0.6585365853658537,99.04761807993054,0.051902808323123314,0.074189449188503,0.06286901634682061,0.04322031088518693,0.055759333513309466,0.038038419646805696,0.03552494157664151,0.05
9,40.2132140667687,140,105,0.46712007616924894,40.2132140667687,0.868421052631579,0.638095238095238,98.59649045392871,0.04915713989197148,0.07258960351085636,0.05643870208343311,0.03167876596472414,0.053277476469658136,0.059390343205932124,0.030612633510305975,0.03257142857142858
10,30.378843987159946,140,127,0.4405874817837877,30.378843987159946,0.6052631578947368,0.7007874015748031,98.59649045392871,0.04622428683629916,0.06985280581584953,0.05539678059706112,0.0286017180529248,0.04752669296222798,0.04325451887357504,0.03378029680109857,0.15937007874015752
